operateur;dsp;thematique;indicateur;mode;groupe_de_lignes;id_line;ligne;trimestre;annee;resultat_indicateurs_en;resultat_indicateurs_en_occurrence;objectif_reference_contrat;penalite
SNCF;;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;RER;;C01742;Ligne A;T1;2022;96.8;;98;Non
SNCF;;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;RER;;C01729;Ligne E;T1;2022;99.3;;98;Non
SNCF;;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01740;Ligne L;T1;2022;98.5;;98;Non
SNCF;;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01730;Ligne P;T1;2022;94.8;;98;Non
SNCF;;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Tram-train;;C01999;Ligne T11;T1;2022;95.2;;98;Non
SNCF;;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Tram-train;;C01999;Ligne T11;T2;2022;100;;98;Non
SNCF;;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;RER;;C01729;Ligne E;T3;2022;98.4;;98;Non
SNCF;;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01740;Ligne L;T3;2022;94.2;;98;Non
SNCF;;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01731;Ligne R;T3;2022;98.3;;98;Non
SNCF;;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;RER;;C01727;Ligne C;T4;2022;98.2;;98;Non
SNCF;;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;RER;;C01728;Ligne D;T4;2022;98;;98;Non
SNCF;;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01739;Ligne J;T4;2022;99.2;;98;Non
SNCF;;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01741;Ligne U;T4;2022;100;;98;Non
SNCF;;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Tram-train;;C01999;Ligne T11;T4;2022;100;;98;Non
SNCF;;Information voyageurs;Information voyageurs statique en situation normale à bord;RER;;C01729;Ligne E;T1;2022;100;;98;Non
SNCF;;Information voyageurs;Information voyageurs statique en situation normale à bord;Tram-train;;C01999;Ligne T11;T1;2022;91.7;;98;Non
SNCF;;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01740;Ligne L;T2;2022;98.6;;98;Non
SNCF;;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01731;Ligne R;T2;2022;100;;98;Non
SNCF;;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01741;Ligne U;T2;2022;90.6;;98;Non
SNCF;;Information voyageurs;Information voyageurs statique en situation normale à bord;Tram-train;;C01843;Ligne T4;T2;2022;87.5;;98;Non
SNCF;;Information voyageurs;Information voyageurs statique en situation normale à bord;Tram-train;;C01999;Ligne T11;T2;2022;91.7;;98;Non
